OTU ID,ZLMCA,ZLMHP,ZLMPM,ZLMSS,ZLMVL,ZPFCA,ZPFMV,ZPFPM,ZPFRR,ZPFSS,ZPFVL,ZSLCA,ZSLHP,ZSLPB,ZSLPM,ZSLRA,ZSLSS,ZSLVL
OTU10887,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU1089,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0
OTU10890,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
OTU109,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0
OTU1090,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
OTU10903,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
OTU10904,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
OTU10908,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1091,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
OTU10910,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10919,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1092,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OTU10920,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
OTU10924,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU10927,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
